category,characteristics,cost,description,description_extend,duration,free,id_course,instructor,language,n_students,rating,sessions,subcategory,title,url
Diseño,,€99.99,Learn to Sculpt Hulk like characters with super human anatomy.,"Is this course right for me : ,If you want to sculpt Hulk like super hero characters then this covers that. This course is for intermediate level artists interested to learn and comprehend the male anatomy applied to the hypertrophy of superheroes.,What you can do after finishing the course :, At the end of the course, you will be able to create a complete character from scratch by sculpting all the visible muscles of the human body in their proper location. You'll understand the movement of the human body and the correct process to add dynamism by posing your character. Finally, you'll be able to render a final image and make a presentation of the project.,Requirements to enrol :, This course is for intermediate Zbrush user so you need to have Zbrush basic knowledge. ,Software we are gonna use, : Zbrush. Keyshot. Zbrush to Keyshot Bridge. Photoshop. PureRef.,If it sounds like you then keep reading.,What will you learn : ,Hulk Character Sculpting,Super Human Anatomy,Sculpting Muscles,Rendering in Zbrush and Keyshot,Who am I to teach :, My name is Gibran Pietro Machaen, I've been working as a 3D sculptor since 2013. I'm specialized in sculpture and modeling for 3D printing, collectibles and statues.,Thanks again for watching Nexttut education and as always, enjoy.,ENROLL NOW and I will see you in the 1st lecture.",,[False],[3557681],Nexttut Education Pvt.Ltd.,"
,
Inglés
","
131 estudiantes
","5,0",13 secciones,3D & Animation,Super Hero Anatomy Course for Artists -The Hulk,https://www.udemy.com/course/male-super-hero-anatomy-course-for-artists-the-hulk/
Diseño,,€49.99,Level up your Cinema 4D skills and be able to create your very own looping 3D animation!,"Hey it’s Dave from CG Shortcuts, welcome to the Course! ,I’m a freelance 3D and Motion Graphics Artist based in London where I’ve been working and teaching in the industry for over 10 years. ,In this course I’ll show you how to create this looping photo-real 3D animation in Cinema 4D, which I’m calling the Jellybean Factory.  ,This kind of animation is super popular on Instagram and other social media at the moment so it’s going to be great for your online portfolio! ,By the end of this course you’ll ,level up your Cinema 4D skills and be able to create your very own looping 3D animation. , ,All you need is, ,Maxon Cinema 4D and ,Adobe After Effects, - don't worry if you don't have them because you can download a free domo to start learning straight away. ,We’ll also cover everything step by step so you can easily follow along, including.. ,Modeling,Camera and Scene setup,Animation with effectors,Dynamics,Lighting,Texturing,Rendering,Compositing,Uploading to Instagram and creating animated GIFs,Bonus Octane setup,There’s also a Bonus lesson on rendering with Octane Render, for all you hard core MoGraphers out there ,Plus you’ll also get access to my project files so you can break them down and see exactly how it was done. ,That’s it for now, let’s get started!,-Dave",,[False],[1923028],Dave Bergin,"
,
Inglés
","
451 estudiantes
","5,0",1 sección,3D & Animation,Cinema 4D - Looping 3D Animation for Instagram and GIF,https://www.udemy.com/course/cinema4d-looping-animation/
Diseño,,€49.99,This is Module 2 - I will show you different methods for poly painting your model within ZBrush only!,"Welcome to "",Module 2: ZBrush Concept and Detailed Character Poly Painting,"" during this course we will cover every technique you can think of to poly paint and texture your model inside ZBrush!,This is the second Module of the complete character design for Games course, we will not be showing UV layout but simply focusing on the range of techniques we can use to paint and texture our Sculpt inside ZBrush,SOFTWARE NEEDED,ZBrush 2019,Photoshop CC for Compositing only,COURSE FEATURES,Painting and texturing Skin with control layers,Using Surface Noise to add colour and additional detail,Masking techniques> Image reference and projections,Colour build up and development,Material fills and blends,Final render setting and compositing,Many tips and tricks,Plus much More...",,[False],[2427204],mojomojo design,"
,
Inglés
","
29 estudiantes
","5,0",2 secciones,3D & Animation,ZBrush High Detail Poly Painting Course Module 2,https://www.udemy.com/course/zbrush-high-detail-poly-painting-course-module-2/
category,characteristics,cost,description,description_extend,duration,free,id_course,instructor,language,n_students,rating,sessions,subcategory,title,url
Diseño,,€19.99,Learn all of the Fundamentals of Low Poly Designing. Create Realistic 3D Models. Learn How to Replicate Real World.,"Want to learn fundamentals of 3D modeling and do it fast? This course is your way to go. Beginning Courses are generally slow paced and sometimes boring and too complicated but with this course you can easily burn your tires and go beyond your expectations.,In this course you will get this different than others:,How to look real world objects and how to replicate them.,How to follow a blueprint and complete hollows with reference images.,Simple tricks about materials, not just assign some color.,Workflow to keep things simple.,How to fix your geometry without struggle.,Pitfalls waiting you ahead and how to notice them.,Low poly models which really look nice, not just like cubes.,Using noises to create small terrain while creating scene.,An instructor always shows you where model can fail and how to fix it.,After you complete this course you can create any model you want in low poly. I really guarantee it. While recording this course no video deleted, every possible mistake shown and fixed within record intentionally so there will be no ""This doesn't happen like this"". Because as a learner you will mix every possible option to create your own models and this is normal. An instructor should know you can do this things and have to show you what is different in a good workflow.,Sections:,Learn the basics,Go with some low poly models like a cottage, tree and stone,Create an hatchback car from a blueprint found on internet(I will show you where to find, not just share you),Create a pick-up from a real world blueprint.,Create a scene.,Two cars made in this course are real cars, so there is no made up things to give a direction to design. This is very important, so you know where to look in real world applications.",6 h 14 m,[False],[3335916],Muhammet Ali Baturhan Aktekin,"
,
Inglés
","
8 estudiantes
","5,0","6 secciones, • ,61 clases, • ",3D & Animation,All Aspects of Low Poly Blender 2.8,https://www.udemy.com/course/all-aspects-of-low-poly-blender/
Diseño,,€109.99,Learn 2D animated graphics to make videos on your own. Vyond: animation and motion graphics software,"A great course on Vyond., (maybe you know it used to be called GoAnimate). In the video course I will guide you every step of the way, with every single tool, showing you the best methods that I myself have used to create many videos for my clients.,This video course is ,a quick way to learn software, and get started right away,It will be ,very easy to go from studying to making your first movie,I'll show you ,all the tools to create a complete video,You will see how to use the tools (even in an advanced way) ,and make videos that are not simply good, rather outstanding!,The sections of the course will lead you to study all the tools in the interface,I have been using Vyond for many years, since it was called GoAnimate and it was the only software program for building 2D animations. Today it is the most widely used program and certainly the most frequently imitated. Since it changed its name to Vyond Studio it has become a super software program that will allow you to build videos of all kinds, in fact even customize characters through the Character Creator , making them look like whoever you want!,Vyond promises anyone will be able to make their own videos, even those who have never made a graphic or a video!,What videos can you build?,Communication, videos,Marketing, videos,Sales, videos,Branding, videos,Storytelling, videos,Fiction, videos,... and many others. With Vyond Studio, the sky’s the limit!,I have created specific sections, by dividing everything you will learn during the course by topic:,Introduction (lessons 1-4),The tools lez. (5-28),Context-sensitive tools (lessons 29-36),Timeline (Lesson 37),Vyond in constant growth (lessons 38-41),REMEMBER: ,it is not important that you have 2D graphics basics,, Vyond is the right tool even for those who do not know the world of video or the world of animation at all. ,It is the right tool for you and it will quickly teach you how to make your videos!,I really hope you can be with me throughout this journey, which I have designed with passion and professionalism.,Thanks for your attention, a warm greeting.,Giovanni",3 h 32 m,[False],[3681274],Novacom video courses,"
,
Inglés
","
13 estudiantes
","5,0","5 secciones, • ,44 clases, • ",3D & Animation,Vyond: how to make 2D animation videos,https://www.udemy.com/course/vyond-how-to-make-2d-animation-videos/
Diseño,,€24.99,Learn How to Create Amazing Motion Graphic and Infographics in After effects A-Z (10 Project),"Hello and welcome to infographics and data visualization course.,By the end of this course, you can create amazing infographics in after effects.,You don’t need any previous knowledge in After effects or any motion graphics experience,We will start the course by the basics of After Effects you will learn everything you need to know to start working with After Effects .,In this Course We Cover:,• Infographics,• Motion Graphic,• Creative Text animation.,• Easing and motion blur.,• Create Nice Background,• Working With Shape Layers,• Design Infographics,• Working with Keyframes,• Motion Graphic techniques,• Working with Effects,• Expression,• Masking,• Animate Infographics,• Graph Editor,• 10 Real Project – Zero to Hero,• Render Project,In this course, we are going to work on 10 real projects. You will learn step by step how to make each of them. Not only this you will have access to the project files and dive deep into them.,Download all the project files now, you will need it from the first lesson.,What you get in this Course:,• Downloadable projects (10 Project),• Premium support from instructor to answer any questions,• Premium support from instructor to answer any questions,• Mounthly updates of the course,If you’ve been excited by the world of motion graphics but still haven’t started. This beginner course is perfect for you. ,Enroll in the course I see you in the first lesson,Cheers.,Motion Royals Team",2 h 50 m,[False],[3349038],Motion Royalls,"
,
Inglés
","
1.641 estudiantes
","5,0","3 secciones, • ,14 clases, • ",3D & Animation,After Effects: Amazing Infographics and Data Visualization,https://www.udemy.com/course/after-effects-amazing-infographics-and-data-visualization/
Diseño,,€99.99,Learn to Sculpt Hulk like characters with super human anatomy.,"Is this course right for me : ,If you want to sculpt Hulk like super hero characters then this covers that. This course is for intermediate level artists interested to learn and comprehend the male anatomy applied to the hypertrophy of superheroes.,What you can do after finishing the course :, At the end of the course, you will be able to create a complete character from scratch by sculpting all the visible muscles of the human body in their proper location. You'll understand the movement of the human body and the correct process to add dynamism by posing your character. Finally, you'll be able to render a final image and make a presentation of the project.,Requirements to enrol :, This course is for intermediate Zbrush user so you need to have Zbrush basic knowledge. ,Software we are gonna use, : Zbrush. Keyshot. Zbrush to Keyshot Bridge. Photoshop. PureRef.,If it sounds like you then keep reading.,What will you learn : ,Hulk Character Sculpting,Super Human Anatomy,Sculpting Muscles,Rendering in Zbrush and Keyshot,Who am I to teach :, My name is Gibran Pietro Machaen, I've been working as a 3D sculptor since 2013. I'm specialized in sculpture and modeling for 3D printing, collectibles and statues.,Thanks again for watching Nexttut education and as always, enjoy.,ENROLL NOW and I will see you in the 1st lecture.",26 h 28 m,[False],[3557681],Nexttut Education Pvt.Ltd.,"
,
Inglés
","
131 estudiantes
","5,0","13 secciones, • ,93 clases, • ",3D & Animation,Super Hero Anatomy Course for Artists -The Hulk,https://www.udemy.com/course/male-super-hero-anatomy-course-for-artists-the-hulk/
Diseño,,€19.99,Become a Freelancer Quick and Easy Earn Money | This Course Is Prepared For You (3D Max Tutorial),"Welcome to this course that will carry you up to the top of your professional life. Let's get to know the course and not waste time.,During the course's first video, we'll change the interface of program to make more convenient use of the it, so you won't be missing the actions I will do in other tutorials.,We will instantly grasp the concept of modeling in a very short time by understanding the program's interface, and move quickly to the exciting features of the 3D world.,Before we learn modeling, we will practice how to build realistic materials, and, we will transform them into a library for using the materials we created in the future works and not doing same things again and again.,We now entered into the 3d world's truly exciting part.,With this chapter, we'll learn how to get a realistic rendering of the first 3D outdoor design (modeling, lighting, camera, and rendering) with its settings.,First, we'll prepare our second outdoor design at the advanced level with all of its settings to refresh our memory and build new knowledge on it.,After our outdoor designs are completed, we will continue with our first interior design at the beginner level. Here we'll learn how to prepare settings and models (lighting, camera, render), and how to get a realistic rendering.,We'll create another design and gain new information to enhance the interior design.,At last, as a conclusion of our course, we will learn how to complete the post-production process with the Adobe Photoshop program, which improves the image of the render, and is a true art process, and we will now be able to accept design jobs from all over the world as a freelancer.",3 h 58 m,[False],[2584164],Design Workshop,"
,
Inglés
","
20 estudiantes
","5,0","8 secciones, • ,27 clases, • ",3D & Animation,Become a Freelancer(3Ds Max-Photoshop Beginner to Advanced),https://www.udemy.com/course/awarded-3ds-max-adobe-photoshop-beginner-to-advanced/
Diseño,,€44.99,Step by Step Training to Creating Fun Cartoon Characters in zBrush!,"This course is for anyone who wants to learn a great
workflow for creating high quality 3D cartoon characters in zBrush. We
will cover all the basics and show you how you can take any drawing and turn it into a
clean high end 3D model.,
,We will cover important
sculpting techniques and I will show you how to properly paint your
model inside zBrush. We will also take a look at some of the more
popular brushes and alphas which you can use to add fantastic skin
detail and paint any design you want on your own character.,
,We
will end the course by bringing our final model into Keyshot via the new zBrush to Keyshot Bridge plugin.",2 h 30 m,[False],[1120252],Alan Balodi,"
,
Inglés
","
123 estudiantes
","5,0","3 secciones, • ,20 clases, • ",3D & Animation,Learn How to Create a Cartoon Bird in zBrush,https://www.udemy.com/course/learn-how-to-create-a-cartoon-bird-in-zbrush/
Diseño,,€109.99,3D Modeling and Animation,"NEW COURSES ADDED EVERY MONTH FOR FREE,(35 COURSES SO FAR),You will get full ,lifetime access, for a single one-off fee. ,This course is continually updated in response to student suggestions,Blender, is a fantastic platform that enables you to make quality models that can be exported to any game engine, 3D printer, or other software. Blender is a free and open-source 3D modeling and animation software. Light and powerful, it caters to every step of the production process of 3D modeling and animation.,The course is ,project-based,, so you will applying your new skills immediately to real projects. You will get all the references and resources - so you'll never get stuck. At the end of every section, you will have an exercise to test your knowledge and by finishing the course, you will already have 30+ projects that you can immediately include in your portfolio.,The Instructor is qualified and experienced with modeling and animation, so is able to explain complex concepts clearly, as well as entertain along the way. The instructor has a passion for art, teaching, and helping students to not only learn but have a fun experience while doing so. By the end of the course, you'll be confident in the  3D modeling, animation, and rendering, and hungry to learn more.,What Is Your Risk By Taking This Course?,Nothing!! If you are not satisfied with the course, I promise I will give you a full refund of your money NO questions asked!!,Dive in now, you won't be disappointed!",48 h 18 m,[False],[3665012],Render Craft,"
,
Inglés
","
19 estudiantes
","5,0","35 secciones, • ,315 clases, • ",3D & Animation,Blender Academy,https://www.udemy.com/course/blender-academy/
Diseño,,€49.99,Level up your Cinema 4D skills and be able to create your very own looping 3D animation!,"Hey it’s Dave from CG Shortcuts, welcome to the Course! ,I’m a freelance 3D and Motion Graphics Artist based in London where I’ve been working and teaching in the industry for over 10 years. ,In this course I’ll show you how to create this looping photo-real 3D animation in Cinema 4D, which I’m calling the Jellybean Factory.  ,This kind of animation is super popular on Instagram and other social media at the moment so it’s going to be great for your online portfolio! ,By the end of this course you’ll ,level up your Cinema 4D skills and be able to create your very own looping 3D animation. , ,All you need is, ,Maxon Cinema 4D and ,Adobe After Effects, - don't worry if you don't have them because you can download a free domo to start learning straight away. ,We’ll also cover everything step by step so you can easily follow along, including.. ,Modeling,Camera and Scene setup,Animation with effectors,Dynamics,Lighting,Texturing,Rendering,Compositing,Uploading to Instagram and creating animated GIFs,Bonus Octane setup,There’s also a Bonus lesson on rendering with Octane Render, for all you hard core MoGraphers out there ,Plus you’ll also get access to my project files so you can break them down and see exactly how it was done. ,That’s it for now, let’s get started!,-Dave",1 h 50 m,[False],[1923028],Dave Bergin,"
,
Inglés
","
451 estudiantes
","5,0","1 sección, • ,15 clases, • ",3D & Animation,Cinema 4D - Looping 3D Animation for Instagram and GIF,https://www.udemy.com/course/cinema4d-looping-animation/
Diseño,,€39.99,English,"This is the level-1 of  course which will coverage the following topics:,•,Belts and chains,•,Sketch blocks,•,Multi-bodies,•,Split tool,•,3D Sketch,•,Advanced Weldments,•,Sheet Metal Import and Modification,All above points discuses in example videos,You can perfectly follow this course if you have SOLIDWORKS versions 2017, 2018,2019 and 2020.. However, this course is delivered using SOLIDWORKS 2017.",41 min,[False],[1874430],Ali Nasser,"
,
Inglés
","
2 estudiantes
","5,0","1 sección, • ,11 clases, • ",3D & Animation,Get Certified Solidworks Expert-Part-1,https://www.udemy.com/course/prepration_for_solidworks_exam/
Diseño,,€109.99,Practice makes progress with 3D modelling,"Welcome to this special exercise class for learning 3D modelling using Blender. This class is designed for absolutely beginners who want to begin creating new objects as they learn the various tools that Blender uses. It is an ideal class for those who would rather not spend three plus hours on learning how to move in 3D space and where to find all the tools that you may or may not want to use as we dive straight in with the creation of different objects using tools and modifiers alike.,The class is divided up into 4 smaller sections of around 5 lectures each, not including the 1st and last lectures of the class. Each section focuses on a different ''starting point' of 3D modelling. In the 1st section the focus is on learning how to manipulate the default cube into different shapes using tools and modifiers.,In the 2nd section we expand to using over primitive objects as the base for new creations using the likes of the UV sphere, Cylinder and Plane objects.,In the 3rd section we expand even further to using different object types to the standard mesh object. We create objects using paths, beziers, volumes and text objects.,In the 4th section we introduce the standard workflow of creating variations from a base asset, like a table. We use the base asset to create variations of an object using tools, modifiers, reference images and materials.,While this class is recommended to absolute beginners, it is advised that you are at least comfortable with moving around in 3D space using Blender.,We hope that you enjoy the class and learn a great deal.",1 h 31 m,[False],[3738066],Joe Baily,"
,
Inglés
","
2 estudiantes
","5,0","6 secciones, • ,22 clases, • ",3D & Animation,Blender Create 20 Objects Exercise Class,https://www.udemy.com/course/blender-create-20-objects-exercise-class/
Diseño,,€39.99,Learn how to create Architectural Multi-floor Building Structure with Foundation Columns and Beams,"Are you interested in Grasshopper and want to learn how it works? Don't be intimidated and give it a try! My name is David Copete and I will make sure to guide you through the exercise steps so you can learn the interface. Once you get through the initial learning stage, it will become one of your most useful design tools.,In this class you will learn how to create an Architectural Multi-floor Building Structure with Foundation Columns and Beams using Grasshopper for Rhino. Grasshopper is a bit intimidating at first, but with some experience it can become one of the most useful tools. These tutorials are great for students who are trying to expand their design arsenal. They will allow you to create some complex and impressive designs in a quick amount of time. The steps in this tutorial are useful for many other applications. So make sure to follow me for future lessons, and let me know if you have any questions, or ideas for future videos. By the end of this course, you will have a better understanding of how Parametric Design works and how you can apply it to your specific use case.,I highly recommend this lesson! Why?,It is simple and straightforward with full explanations of the process of parametric design using Grasshopper.,I will show you a real world example. By the end of the lesson you have a useful script that you can use to share with your firm, or impress your friends and teachers.,Who can benefit from this lesson?,Beginners who want to learn Grasshopper and Parametric Design,Architects,Engineers,Design students,3D modelers interested in parametric design.,3D Print designers",36 min,[False],[2698246],DCO GraphicStudio,"
,
Inglés
","
30 estudiantes
","4,9","8 secciones, • ,8 clases, • ",3D & Animation,Rhino Grasshopper Architectural Building Structure,https://www.udemy.com/course/rhino-grasshopper-architectural-building-structure/
