collaboration,description,difficulty,duration_hours,duration_weeks,free,id_course,n_reviews,new,rating,school,skills,title,url
Georgia Institute of Technology,,intermediate,,"Approx., ,16, ,weeks, ",[True],ud169,,[False],,School of Programming & Development,"VLIW Architecture, Compilers for Embedded Systems, Differential Register Allocation, Network Processors, Multithreaded Processing",Embedded Systems,https://www.udacity.com/course/embedded-systems--ud169
,,intermediate,,"Approx., ,1, ,weeks, ",[True],ud272,,[False],,School of Programming & Development,"App Deployment, Heroku",Deploying Applications with Heroku,https://www.udacity.com/course/deploying-applications-with-heroku--ud272
Facebook AI,,intermediate,,"Approx., ,2, ,months, ",[False],ud188,,[True],,School of Artificial Intelligence,"Deep Learning, PyTorch, Neural Networks, CNNs, LSTMs, Style Transfer",Intro to Deep Learning with PyTorch,https://www.udacity.com/course/deep-learning-pytorch--ud188
,,intermediate,,"Approx., ,3, ,weeks, ",[True],ud109,,[False],,School of Programming & Development,"Asynchronous Data Retrieval, Ajax with XHR, Ajax with jQuery, Ajax with Fetch",Asynchronous JavaScript Requests,https://www.udacity.com/course/asynchronous-javascript-requests--ud109
,,beginner,,"Approx., ,2, ,months, ",[True],ud201,,[False],,School of Data Science,"Inferential Statistics, Hypothesis Testing, T-tests, ANOVA",Intro to Inferential Statistics,https://www.udacity.com/course/intro-to-inferential-statistics--ud201
Grow With Google,,beginner,,"Approx., ,2, ,days, ",[False],ud243,,[True],,Career Advancement,"Resume writing, Company targeting, Storytelling, Career Advancement",Refresh Your Resume,https://www.udacity.com/course/refresh-your-resume--ud243
," This class will give you an introduction to the design and analysis of algorithms, enabling you to analyze networks and discover how individuals are connected. ",intermediate,, Approx. 4 Months ,[True],cs215,,[False],,School of Programming & Development,"Algorithms, Social Networks, Graph Algorithms",Intro to Algorithms,https://www.udacity.com/course/intro-to-algorithms--cs215
,,intermediate,,"Approx., ,2, ,weeks, ",[True],ud110,,[False],,School of Programming & Development,"Asynchronous requests with JavaScript, Data APIs, Web Applications, Site Customization",Intro to AJAX,https://www.udacity.com/course/intro-to-ajax--ud110
,,advanced,,"Approx., ,4, ,weeks, ",[True],ud356,,[False],,School of Programming & Development,"JavaScript, ES6, Syntax, Functions",ES6 - JavaScript Improved,https://www.udacity.com/course/es6-javascript-improved--ud356
Baidu,,beginner,,"Approx., ,4, ,weeks, ",[False],ud0419,,[True],,School of Autonomous Systems,"Apollo HD Map, Localization, Perception, Prediction, Planning, Control",Self-Driving Fundamentals: Featuring Apollo ,https://www.udacity.com/course/self-driving-car-fundamentals-featuring-apollo--ud0419
,,intermediate,,"Approx., ,4, ,weeks, ",[True],ud197,,[False],,School of Programming & Development,"Rational databases, SQL, Python API, Python DB-API, Select and insert statements",Intro to Relational Databases,https://www.udacity.com/course/intro-to-relational-databases--ud197
,,intermediate,,"Approx., ,2, ,months, ",[True],cs262,,[False],,School of Programming & Development,"Introduciton to Programming Languages, Validate and Process Strings, HTML and JavaScript, Build your own web browser",Programming Languages,https://www.udacity.com/course/programming-languages--cs262
,,intermediate,,"Approx., ,2, ,months, ",[True],cs222,,[False],,School of Autonomous Systems,"Math, Differential Equations",Differential Equations in Action,https://www.udacity.com/course/differential-equations-in-action--cs222
Facebook for Developers,,intermediate,,"Approx., ,2, ,weeks, ",[True],ud1034,,[False],,School of Programming & Development,"Product Design, Prototyping",Mobile Design and Usability for iOS,https://www.udacity.com/course/mobile-design-and-usability-for-ios--ud1034
,,intermediate,,"Approx., ,3, ,weeks, ",[True],ud1000,,[False],,School of Programming & Development,"Data Analysis, Hadoop, MapReduce",Deploying a Hadoop Cluster,https://www.udacity.com/course/deploying-a-hadoop-cluster--ud1000
,,intermediate,,"Approx., ,2, ,months, ",[True],cs259,,[False],,School of Programming & Development,"Debugging, Python, Automated Debugging",Software Debugging,https://www.udacity.com/course/software-debugging--cs259
,,intermediate,,"Approx., ,2, ,weeks, ",[True],ud1031,,[False],,School of Programming & Development,"Swift Package Manager, MySQL, Docker, Terraform, Microservices",Server-Side Swift,https://www.udacity.com/course/server-side-swift--ud1031
Google,,intermediate,,"Approx., ,2, ,days, ",[True],ud0352,,[False],,School of Programming & Development,Android Development,Firebase in a Weekend: Android,https://www.udacity.com/course/firebase-in-a-weekend-by-google-android--ud0352
, Learn to use Structured Query Language (SQL) to extract and analyze data stored in databases ,beginner,, Approx. 4 Weeks ,[False],ud198,,[True],,School of Data Science,Mode,SQL for Data Analysis,https://www.udacity.com/course/sql-for-data-analysis--ud198
,,beginner,,"Approx., ,7, ,days, ",[True],ud1025,,[False],,School of Programming & Development,"Variables and Constants, Strings, Control Flow, Functions",Swift for Developers,https://www.udacity.com/course/swift-for-developers--ud1025
,,intermediate,,"Approx., ,1, ,months, ",[True],ep245,,[False],,School of Business,"Entrepreneurship, Value Proposition, Revenue Models, Customer Segments",How to Build a Startup,https://www.udacity.com/course/how-to-build-a-startup--ep245
,,intermediate,,"Approx., ,1, ,week, ",[False],ud250,,[True],,Career Advancement,"Interview questions, Common FE Questions, Whiteboarding, Career Advancement",Front-End Interview Prep,https://www.udacity.com/course/front-end-interview-prep--ud250
,,advanced,,"Approx., ,2, ,months, ",[True],cs212,,[False],,School of Programming & Development,"Computer Program Design, Python, Design Process",Design of Computer Programs,https://www.udacity.com/course/design-of-computer-programs--cs212
,,intermediate,,"Approx., ,2, ,months, ",[True],cs313,,[False],,School of Programming & Development,"theoretical computer science, NP-completeness, Recognizing algorithmic problems, Solving algorithmic problems",Intro to Theoretical Computer Science,https://www.udacity.com/course/intro-to-theoretical-computer-science--cs313
,,intermediate,,"Approx., ,6, ,days, ",[True],ud1026,,[False],,School of Programming & Development,"Design, UI, Stack Views, Constraints",AutoLayout,https://www.udacity.com/course/auto-layout--ud1026
,,intermediate,,"Approx., ,1, ,week, ",[False],ud1001,,[True],,Career Advancement,"Interview practice, Machine Learning, Career Advancement",Machine Learning Interview Preparation,https://www.udacity.com/course/machine-learning-interview-prep--ud1001
MongoDB,,intermediate,,"Approx., ,2, ,months, ",[True],ud032,,[False],,School of Programming & Development,"Gathering Data, Assessing Data, Cleaning Data, Data Wrangling, MongoDB",Data Wrangling with MongoDB,https://www.udacity.com/course/data-wrangling-with-mongodb--ud032
Georgia Institute of Technology,,advanced,,"Approx., ,0, , ",[True],ud007,,[False],,School of Programming & Development,"Processor Pipelining, Branch Prediction, Instruction Scheduling, Memory Ordering, Multiprocessor Architectures",High Performance Computer Architecture,https://www.udacity.com/course/high-performance-computer-architecture--ud007
Amazon Web Services,,intermediate,,"Approx., ,3, ,weeks, ",[True],ud088,,[False],,School of Programming & Development,"Flask, CRUD, Model-View-Controller, Python, Object-relational Mapping",Full Stack Foundations,https://www.udacity.com/course/full-stack-foundations--ud088
Autodesk,,intermediate,,"Approx., ,2, ,months, ",[True],cs291,,[False],,School of Programming & Development,"Animated 3D Demo Program, Computer Image Generation, Programming Vertex and Pixel Shaders",Interactive 3D Graphics,https://www.udacity.com/course/interactive-3d-graphics--cs291
,,intermediate,,"Approx., ,1, ,months, ",[True],cs258,,[False],,School of Programming & Development,"Software Testing, Debugging, Code Coverage",Software Testing,https://www.udacity.com/course/software-testing--cs258
"Venmo, Lyft",,intermediate,,"Approx., ,5, ,weeks, ",[True],ud1009,,[False],,School of Programming & Development,"iOS, Swift, Objective-C, Control Flow Syntax",Objective-C for Swift Developers,https://www.udacity.com/course/objective-c-for-swift-developers--ud1009
Google VR,,beginner,,"Approx., ,2, ,weeks, ",[True],ud1012,,[False],,School of Programming & Development,"VR development, Unity, Google VR SDK for Unity, General understanding of how VR works, Deploying to Android and iOS",Introduction to Virtual Reality,https://www.udacity.com/course/introduction-to-virtual-reality--ud1012
,,intermediate,,"Approx., ,3, ,weeks, ",[True],ud979,,[False],,School of Business,"A/B Randomized Design Tests, A/B Matched Pair Design Tests",A/B Testing for Business Analysts,https://www.udacity.com/course/ab-testing--ud979
,,beginner,,"Approx., ,7, ,days, ",[True],ud1022,,[False],,School of Programming & Development,"Variables and Constants, Strings, Control Flow, Functions",Swift for Beginners,https://www.udacity.com/course/swift-for-beginners--ud1022
,,intermediate,,"Approx., ,2, ,weeks, ",[True],ud576,,[False],,School of Programming & Development,"Closures, GCD",Grand Central Dispatch (GCD),https://www.udacity.com/course/grand-central-dispatch-gcd--ud576
,,beginner,,"Approx., ,2, ,weeks, ",[True],ud292,,[False],,School of Programming & Development,"HTML5 Canvas, Canvas2D, Creating animation",HTML5 Canvas,https://www.udacity.com/course/html5-canvas--ud292
,,intermediate,,"Approx., ,2, ,weeks, ",[True],ud549,,[False],,School of Programming & Development,"Javascript Apps, Jasmine testing framework, red-green-refactor workflow",JavaScript Testing,https://www.udacity.com/course/javascript-testing--ud549
,,,,"Approx., ,1, ,months, ",[True],ud257,,[False],,School of Artificial Intelligence,Google,A/B Testing,https://www.udacity.com/course/ab-testing--ud257
Amazon Appstore for Android,,intermediate,,"Approx., ,8, ,weeks, ",[True],ud406,,[False],,School of Programming & Development,"LibGDX, Game Development, Asset management",How to Make a Platformer Using libGDX,https://www.udacity.com/course/how-to-make-a-platformer-using-libgdx--ud406
,,intermediate,,"Approx., ,2, ,weeks, ",[True],ud268,,[False],,School of Programming & Development,"Ruby, Sinatra, Building web applications",Dynamic Web Applications with Sinatra,https://www.udacity.com/course/dynamic-web-applications-with-sinatra--ud268
," Learn the fundamentals of JavaScript, the most popular programming language in web development. ",beginner,, Approx. 2 Weeks ,[True],ud803,,[False],,School of Programming & Development,"JavaScript, Conditionals, Loops, Data Types & Variables",Intro to JavaScript,https://www.udacity.com/course/intro-to-javascript--ud803
,,advanced,,"Approx., ,3, ,months, ",[True],ud401,,[False],,School of Programming & Development,Georgia Institute of Technology,Introduction to Graduate Algorithms,https://www.udacity.com/course/introduction-to-graduate-algorithms--ud401
Twitter,,intermediate,,"Approx., ,2, ,weeks, ",[True],ud381,,[False],,School of Artificial Intelligence,"Data Analysis, Real-time Analytics, Apache Storm",Real-Time Analytics with Apache Storm,https://www.udacity.com/course/real-time-analytics-with-apache-storm--ud381
Cloudera,,intermediate,,"Approx., ,1, ,months, ",[True],ud617,,[False],,School of Artificial Intelligence,"Big Data, Hadoop, MapReduce",Intro to Hadoop and MapReduce,https://www.udacity.com/course/intro-to-hadoop-and-mapreduce--ud617
,,intermediate,,"Approx., ,2, ,days, ",[True],ud245,,[False],,School of Programming & Development,"jQuery, DOM Structure, Reading jQuery documentation, Modify HTML attributes and content",Intro to jQuery,https://www.udacity.com/course/intro-to-jquery--ud245
Georgia Institute of Technology,,intermediate,,"Approx., ,16, ,weeks, ",[True],ud279,,[False],,School of Programming & Development,"Industrial Networks, Industrial Control Systems, Smart Grid Infrastructure, Cyber Security, Privacy",Cyber-Physical Systems Security,https://www.udacity.com/course/cyber-physical-systems-security--ud279
Amazon Appstore for Android,,intermediate,,"Approx., ,8, ,weeks, ",[True],ud405,,[False],,School of Programming & Development,"LibGDX, Game Development, 2D",2D Game Development with libGDX,https://www.udacity.com/course/2d-game-development-with-libgdx--ud405
Google,,intermediate,,"Approx., ,1, ,days, ",[True],ud353,,[False],,School of Programming & Development,"Android Development, Firebase Analytics, Firebase Crash Reporting, Firebase Remote Config, Firebase Dynamic Links",Firebase Analytics: iOS,https://www.udacity.com/course/firebase-analytics-ios--ud353
Georgia Institute of Technology,,intermediate,,"Approx., ,16, ,weeks, ",[True],ud400,,[False],,School of Programming & Development,"Design Principles, Direct Manipulation Interfaces, Mental Models, Distributed Cognition, Prototyping",Human-Computer Interaction,https://www.udacity.com/course/human-computer-interaction--ud400
Georgia Institute of Technology,,intermediate,,"Approx., ,4, ,months, ",[True],ud262,,[False],,School of Artificial Intelligence,"Supervised Learning, Unsupervised Learning, Information Theory, Reinforcement Learning, Game Theory",Machine Learning,https://www.udacity.com/course/machine-learning--ud262
Grow With Google,,intermediate,,"Approx., ,1, ,week, ",[False],ud241,,[True],,Career Advancement,"Interview practice, Common Android Questions, Whiteboarding",Android Interview Prep,https://www.udacity.com/course/android-interview-prep--ud241
Georgia Institute of Technology,,intermediate,,"Approx., ,16, ,weeks, ",[True],ud333,,[False],,School of Programming & Development,"Software Testing, Debugging, Dataflow Analysis, Constraint-based Analysis, Symbolic Execution",Software Analysis & Testing,https://www.udacity.com/course/software-analysis-testing--ud333
Georgia Institute of Technology,,intermediate,,"Approx., ,4, ,months, ",[True],ud501,,[False],,School of Artificial Intelligence,"Pandas, Time Series Analysis, Computational Investing, Algorithmic Trading, Reinforcement Learning for Trading",Machine Learning for Trading,https://www.udacity.com/course/machine-learning-for-trading--ud501
Georgia Institute of Technology,,intermediate,,"Approx., ,3, ,months, ",[True],ud436,,[False],,School of Programming & Development,"Software-Defined Networking, Data Center Networking, Content Distribution, Congestion Control, Traffic Shaping",Computer Networking,https://www.udacity.com/course/computer-networking--ud436
," Explore a variety of datasets, posing and answering your own questions about each. You'll be using the Python libraries NumPy, Pandas, and Matplotlib. ",beginner,, Approx. 6 Weeks ,[True],ud170,,[False],,School of Data Science,"Data Analysis, Python, numpy, pandas",Intro to Data Analysis,https://www.udacity.com/course/intro-to-data-analysis--ud170
,,advanced,,"Approx., ,2, ,months, ",[True],ud325,,[False],,School of Programming & Development,"Data Persistence, Core Data, UserDefaults, FileManager",iOS Persistence and Core Data,https://www.udacity.com/course/ios-persistence-and-core-data--ud325
,,beginner,,"Approx., ,3, ,days, ",[True],ud777,,[False],,School of Programming & Development,"README, Markdown, Making code easier to read",Writing READMEs,https://www.udacity.com/course/writing-readmes--ud777
Google,,intermediate,,"Approx., ,2, ,weeks, ",[True],ud811,,[False],,School of Programming & Development,"Progressive Web Apps, Service Workers, Web App Manifest, Offline apps",Intro to Progressive Web Apps,https://www.udacity.com/course/intro-to-progressive-web-apps--ud811
Zipfian,,intermediate,,"Approx., ,7, ,weeks, ",[True],ud507,,[False],,School of Artificial Intelligence,"d3.js, Design of Visualizations, Data Visualization, Visual Encodings",Data Visualization and D3.js,https://www.udacity.com/course/data-visualization-and-d3js--ud507
,,beginner,,"Approx., ,3, ,weeks, ",[True],ud1006,,[False],,School of Programming & Development,"Tableau, Design of Visualizations, Visual Encodings",Data Visualization in Tableau,https://www.udacity.com/course/data-visualization-in-tableau--ud1006
,,intermediate,,"Approx., ,2, ,months, ",[True],ud359,,[False],,School of Data Science,"Data Analysis Process, pandas (Python package), MapReduce paradigm",Intro to Data Science,https://www.udacity.com/course/intro-to-data-science--ud359
AT&T,,advanced,,"Approx., ,8, ,weeks, ",[True],ud919,,[False],,School of Artificial Intelligence,"Questioning, Modeling, Validation, Data Analysis, QMV Process",Model Building and Validation,https://www.udacity.com/course/model-building-and-validation--ud919
,,advanced,,"Approx., ,2, ,months, ",[False],ud185,,[True],,School of Artificial Intelligence,Facebook AI,Secure and Private AI,https://www.udacity.com/course/secure-and-private-ai--ud185
,,advanced,,"Approx., ,1, ,weeks, ",[True],ud888,,[False],,School of Programming & Development,"Kotlin, Android",Kotlin for Android Developers,https://www.udacity.com/course/kotlin-for-android-developers--ud888
Google,,beginner,,"Approx., ,6, ,weeks, ",[True],ud849,,[False],,School of Programming & Development,"Android, UX Design, User-Centered Design",UX Design for Mobile Developers,https://www.udacity.com/course/ux-design-for-mobile-developers--ud849
,,intermediate,,"Approx., ,3, ,weeks, ",[True],ud902,,[False],,School of Programming & Development,"Variables and Constants, Control Flow, Functions, Optionals, OOP",Learn Swift Programming Syntax,https://www.udacity.com/course/learn-swift-programming-syntax--ud902
Georgia Institute of Technology,,intermediate,,"Approx., ,3, ,months, ",[True],ud805,,[False],,School of Programming & Development,"Software Development Life Cycle, Requirements Engineering, Design Patterns, Black-Box & White-Box Testing, Agile Development Methodology",Software Development Process,https://www.udacity.com/course/software-development-process--ud805
Georgia Institute of Technology,,intermediate,,"Approx., ,4, ,months, ",[True],ud954,,[False],,School of Artificial Intelligence,"Artificial Intelligence, Probability, Bayesian Networks, Logic and Planning, Machine Learning",Artificial Intelligence,https://www.udacity.com/course/artificial-intelligence--ud954
,,intermediate,,"Approx., ,1, ,month, ",[False],ud132,,[True],,School of Artificial Intelligence,"Edge AI, Intel OpenVINO, Computer Vision, Deep Learning",Intel® Edge AI Fundamentals with OpenVINO™,https://www.udacity.com/course/intel-edge-AI-fundamentals-with-openvino--ud132
Google,,intermediate,,"Approx., ,2, ,months, ",[False],ud9012,,[True],,School of Programming & Development,Android Development,Developing Android Apps with Kotlin,https://www.udacity.com/course/developing-android-apps-with-kotlin--ud9012
Google,,intermediate,,"Approx., ,1, ,months, ",[True],ud615,,[False],,School of Programming & Development,"Microservices, Docker, Kubernetes, Deploying Microservices",Scalable Microservices with Kubernetes,https://www.udacity.com/course/scalable-microservices-with-kubernetes--ud615
Google,,beginner,,"Approx., ,8, ,weeks, ",[True],ud845,,[False],,School of Programming & Development,"Android Development, SQLite, ContentProvider, CursorAdapter & CursorLoader, Database, Design",Android Basics: Data Storage,https://www.udacity.com/course/android-basics-data-storage--ud845
Google,,advanced,,"Approx., ,1, ,months, ",[True],ud860,,[False],,School of Programming & Development,"Browser Rendering Response, Animation, Idle and Load (RAIL), Optimizing JavaScript, How to debug an app",Browser Rendering Optimization,https://www.udacity.com/course/browser-rendering-optimization--ud860
Google,,advanced,,"Approx., ,2, ,weeks, ",[True],ud891,,[False],,School of Programming & Development,"Accessibility, Screen Readers, Focus, Semantics, ARIA",Web Accessibility,https://www.udacity.com/course/web-accessibility--ud891
Google,,beginner,,"Approx., ,5, ,weeks, ",[True],ud843,,[False],,School of Programming & Development,"Android Development, JSON Parsing, HTTP Networking, Threads and Parallelism, Control Flow and Conditionals, Preferences",Android Basics: Networking,https://www.udacity.com/course/android-basics-networking--ud843
Georgia Institute of Technology,,intermediate,,"Approx., ,2, ,months, ",[True],ud923,,[False],,School of Programming & Development,"Processes & Threads, Memory Management, Inter-Process Communication, Resource Virtualization, Distributed File Systems",Introduction to Operating Systems,https://www.udacity.com/course/introduction-to-operating-systems--ud923
,,intermediate,,"Approx., ,1, ,week, ",[False],ud944,,[True],,Career Advancement,"Interview practice, Common Data Questions, Data Structures, Career Advancement",Data Science Interview Prep,https://www.udacity.com/course/data-science-interview-prep--ud944
,,beginner,,"Approx., ,2, ,months, ",[True],ud827,,[False],,School of Artificial Intelligence,"Descriptive Statistics, Estimation, Central Limit Theorem",Intro to Descriptive Statistics,https://www.udacity.com/course/intro-to-descriptive-statistics--ud827
,,intermediate,,"Approx., ,1, ,months, ",[True],ud585,,[False],,School of Programming & Development,"Swift, UIKit, AVFoundation",Intro to iOS App Development with Swift,https://www.udacity.com/course/intro-to-ios-app-development-with-swift--ud585
,,intermediate,,"Approx., ,2, ,weeks, ",[True],ud330,,[False],,School of Programming & Development,"Flask, OAuth 2.0, Authentication & Authorization, Python",Authentication & Authorization: OAuth,https://www.udacity.com/course/authentication-authorization-oauth--ud330
,,beginner,,"Approx., ,1, ,day, ",[False],ud244,,[True],,Career Advancement,"Creating a narrative, Targeting your pitch, Communicating value, Career Advancement",Craft Your Cover Letter,https://www.udacity.com/course/craft-your-cover-letter--ud244
Georgia Institute of Technology,,intermediate,,"Approx., ,0, , ",[True],ud459,,[False],,School of Programming & Development,"Software Security, Cryptography, Network Security, Privacy, Public Policy",Intro to Information Security,https://www.udacity.com/course/intro-to-information-security--ud459
Google,,intermediate,,"Approx., ,1, ,months, ",[True],ud518,,[False],,School of Business,"Product Design, Google Analytics",App Monetization,https://www.udacity.com/course/app-monetization--ud518
Georgia Institute of Technology,,intermediate,,"Approx., ,2, ,months, ",[True],ud821,,[False],,School of Programming & Development,"Unified Modeling Language, Object Constraint Language, Software Architecture, Software Design, Code Review",Software Architecture & Design,https://www.udacity.com/course/software-architecture-design--ud821
Google,,advanced,,"Approx., ,6, ,weeks, ",[True],ud855,,[False],,School of Programming & Development,"Android Development, Fragments, Libraries, Firebase, Espresso",Advanced Android App Development,https://www.udacity.com/course/advanced-android-app-development--ud855
Georgia Institute of Technology,,intermediate,,"Approx., ,0, , ",[True],ud758,,[False],,School of Artificial Intelligence,"Data Analytics, Health Care Applications, Algorithms",Big Data Analytics in Healthcare,https://www.udacity.com/course/big-data-analytics-in-healthcare--ud758
Google,,intermediate,,"Approx., ,2, ,weeks, ",[True],ud890,,[False],,School of Programming & Development,"Research HTML5 input types, Datalist input, User input validation with HTML5 attributes, Validate user input using JavaScript, Optimizing forms",Building High Conversion Web Forms,https://www.udacity.com/course/building-high-conversion-web-forms--ud890
Google,,advanced,,"Approx., ,5, ,weeks, ",[True],ud897,,[False],,School of Programming & Development,"HTTP request and response cycle, HTTP headers and verbs, HTTP/1 and HTTP/2 capabilities, HTTPS, Client-Server Communication",Client-Server Communication,https://www.udacity.com/course/client-server-communication--ud897
Google,,intermediate,,"Approx., ,2, ,weeks, ",[True],ud719,,[False],,School of Business,"App Marketing, User Segmentation, Customer Acquisition",App Marketing,https://www.udacity.com/course/app-marketing--ud719
,,intermediate,,"Approx., ,3, ,weeks, ",[True],ud980,,[False],,School of Business,"Time Series Forecasting, ETS Models, ARIMA Models",Time Series Forecasting,https://www.udacity.com/course/time-series-forecasting--ud980
,,intermediate,,"Approx., ,2, ,months, ",[True],ud788,,[False],,School of Programming & Development,"AutoLayout, Navigation, Table Views, Collection Views",UIKit Fundamentals,https://www.udacity.com/course/uikit-fundamentals--ud788
Google, Learn how to design your first layout in Android! This is the first course in the Android Basics Nanodegree program. ,beginner,, Approx. 2 Weeks ,[True],ud834,,[False],,School of Programming & Development,"Android Development, Building Layouts, Android Studio, Views and ViewGroups, Styling",Android Basics: User Interface,https://www.udacity.com/course/android-basics-user-interface--ud834
,,beginner,,"Approx., ,1, ,day, ",[False],ud994,,[True],,School of Programming & Development,,What is Programming?,https://www.udacity.com/course/what-is-programming--ud994
Google, Learn from experts at Google how to use Flutter to craft high-quality native interfaces on iOS and Android devices in record time. ,intermediate,, Approx. 2 Weeks ,[False],ud905,,[True],,School of Programming & Development,Android Development,Build Native Mobile Apps with Flutter,https://www.udacity.com/course/build-native-mobile-apps-with-flutter--ud905
"Gradle, Google",,advanced,,"Approx., ,6, ,weeks, ",[True],ud867,,[False],,School of Programming & Development,"Android Development, Gradle, Java",Gradle for Android and Java,https://www.udacity.com/course/gradle-for-android-and-java--ud867
Google,,advanced,,"Approx., ,3, ,weeks, ",[True],ud898,,[False],,School of Programming & Development,"Native JavaScript Promises, Asynchronous code, Advanced error handling, Generating sequences of async work",JavaScript Promises,https://www.udacity.com/course/javascript-promises--ud898
Georgia Institute of Technology,,intermediate,,"Approx., ,1, ,months, ",[True],ud741,,[False],,School of Artificial Intelligence,"Randomized Optimization, Clustering, Feature Selection, Feature Transformation, Information Theory",Machine Learning: Unsupervised Learning,https://www.udacity.com/course/machine-learning-unsupervised-learning--ud741
,,intermediate,,"Approx., ,3, ,weeks, ",[True],ud981,,[False],,School of Business,"Variable Reduction, Clustering Models design",Segmentation and Clustering,https://www.udacity.com/course/segmentation-and-clustering--ud981
Google,,advanced,,"Approx., ,4, ,weeks, ",[True],ud825,,[False],,School of Programming & Development,"Android Development, Performance, Optimization",Android Performance,https://www.udacity.com/course/android-performance--ud825
,,advanced,,"Approx., ,3, ,weeks, ",[True],ud774,,[False],,School of Programming & Development,"Debugging, LLDB",Xcode Debugging,https://www.udacity.com/course/xcode-debugging--ud774
Google,,intermediate,,"Approx., ,2, ,weeks, ",[True],ud882,,[False],,School of Programming & Development,"Responsive Images, Mobile Image debugging, Creating responsive graphics",Responsive Images,https://www.udacity.com/course/responsive-images--ud882
Google,,beginner,,"Approx., ,4, ,weeks, ",[True],ud836,,[False],,School of Programming & Development,"Android Development, Java, Object Oriented Programming, Conditional Code, Methods, Variables",Android Basics: User Input,https://www.udacity.com/course/android-basics-user-input--ud836
Google," Learn product validation, UI/UX practices, Google’s Design Sprint and the process for setting and tracking actionable metrics. ",intermediate,, Approx. 2 Months ,[True],ud509,,[False],,School of Business,"Product Design, Design Sprints, Ideation and Validation, UI/UX",Product Design,https://www.udacity.com/course/product-design--ud509
,,advanced,,"Approx., ,6, ,weeks, ",[True],ud989,,[False],,School of Programming & Development,"Separating concerns, Code organization, Using an Organizational Library, KnockoutJS",JavaScript Design Patterns,https://www.udacity.com/course/javascript-design-patterns--ud989
,,intermediate,,"Approx., ,4, ,months, ",[True],ud953,,[False],,School of Artificial Intelligence,"Algebra, Python, Vectors, Intersections",Linear Algebra Refresher Course,https://www.udacity.com/course/linear-algebra-refresher-course--ud953
,,advanced,,"Approx., ,3, ,months, ",[True],ud421,,[False],,School of Programming & Development,"Networking, URLSession, JSON Parsing",iOS Networking with Swift,https://www.udacity.com/course/ios-networking-with-swift--ud421
Alteryx,,beginner,,"Approx., ,2, ,weeks, ",[True],ud976,,[False],,School of Business,Linear Regression,Problem Solving with Advanced Analytics,https://www.udacity.com/course/problem-solving-with-advanced-analytics--ud976
Alteryx,,intermediate,,"Approx., ,2, ,weeks, ",[True],ud978,,[False],,School of Business,"Binary Classication Models, Non-Binary Classification Models",Classification Models,https://www.udacity.com/course/classification-models--ud978
Google,,beginner,,"Approx., ,2, ,months, ",[True],ud839,,[False],,School of Programming & Development,"Android Development, Intents and Activities, Data, Loops and Custom Classes, Images and Visual Polish, Audio and Libraries",Android Basics: Multiscreen Apps,https://www.udacity.com/course/android-basics-multiscreen-apps--ud839
Alteryx,,beginner,,"Approx., ,2, ,weeks, ",[True],ud977,,[False],,School of Business,"Data Issues, Data Formatting, Data Blending",Creating an Analytical Dataset,https://www.udacity.com/course/creating-an-analytical-dataset--ud977
Google,,intermediate,,"Approx., ,1, ,weeks, ",[True],ud884,,[False],,School of Programming & Development,"Chrome Developer Tools, DOM and CSSOM, Critical Rendering Path HTML, CSS and JavaScript optimizations",Website Performance Optimization,https://www.udacity.com/course/website-performance-optimization--ud884
,,beginner,,"Approx., ,1, ,day, ",[True],ud808,,[False],,School of Programming & Development,"Android, Android Studio, Java",How to Install Android Studio,https://www.udacity.com/course/how-to-install-android-studio--ud808
