difficulty,duration,n_reviews,rating,free,Label
intermediate,200.0,918,91.08932461873638,0,5
beginner,120.0,1753,93.96463205932687,0,6
beginner,120.0,619,94.24878836833604,0,6
intermediate,160.0,2893,93.2181126857933,0,2
intermediate,160.0,517,90.87040618955513,0,2
beginner,160.0,3045,93.64203612479474,0,6
intermediate,160.0,680,90.7941176470588,0,2
advanced,80.0,739,93.42354533152908,0,2
beginner,120.0,1161,95.02153316106802,0,6
intermediate,120.0,761,91.53745072273324,0,2
intermediate,160.0,2838,92.29034531360114,0,2
intermediate,10.0,0,0.0,1,1
beginner,120.0,777,94.980694980695,0,6
intermediate,10.0,0,0.0,1,1
advanced,240.0,1386,95.05050505050504,0,5
intermediate,160.0,500,91.44,0,2
beginner,80.0,0,0.0,1,3
beginner,80.0,399,86.2155388471178,0,6
beginner,5.0,0,0.0,1,3
intermediate,160.0,0,0.0,1,0
intermediate,10.0,0,0.0,1,1
intermediate,10.0,0,0.0,1,1
intermediate,10.0,0,0.0,1,1
intermediate,10.0,0,0.0,1,1
intermediate,160.0,824,93.13106796116506,0,2
intermediate,100.0,0,0.0,1,4
intermediate,40.0,0,0.0,1,1
intermediate,10.0,0,0.0,1,1
beginner,10.0,0,0.0,1,3
intermediate,10.0,0,0.0,1,1
intermediate,10.0,0,0.0,1,1
beginner,10.0,0,0.0,1,3
beginner,10.0,0,0.0,1,3
intermediate,20.0,0,0.0,1,1
intermediate,80.0,0,0.0,1,4
intermediate,80.0,0,0.0,1,4
beginner,10.0,0,0.0,1,3
intermediate,160.0,0,0.0,1,0
intermediate,80.0,0,0.0,1,4
advanced,80.0,0,0.0,1,4
intermediate,160.0,0,0.0,1,0
advanced,70.0,0,0.0,1,4
intermediate,80.0,0,0.0,1,4
intermediate,40.0,0,0.0,1,1
intermediate,160.0,0,0.0,1,0
intermediate,20.0,0,0.0,1,1
intermediate,40.0,0,0.0,1,1
intermediate,160.0,0,0.0,1,0
intermediate,70.0,0,0.0,1,4
advanced,80.0,0,0.0,1,4
intermediate,160.0,0,0.0,1,0
intermediate,40.0,0,0.0,1,1
beginner,80.0,0,0.0,1,3
intermediate,160.0,0,0.0,1,0
advanced,80.0,0,0.0,1,4
beginner,40.0,0,0.0,1,3
advanced,160.0,0,0.0,1,0
intermediate,80.0,0,0.0,1,4
beginner,80.0,0,0.0,1,3
intermediate,40.0,0,0.0,1,1
intermediate,40.0,0,0.0,1,1
intermediate,10.0,0,0.0,1,1
beginner,1.0,0,0.0,1,3
intermediate,30.0,0,0.0,1,1
intermediate,40.0,0,0.0,1,1
intermediate,40.0,0,0.0,1,1
intermediate,30.0,0,0.0,1,1
intermediate,20.0,0,0.0,1,1
intermediate,30.0,0,0.0,1,1
intermediate,80.0,0,0.0,1,4
intermediate,30.0,0,0.0,1,1
intermediate,20.0,0,0.0,1,1
beginner,20.0,0,0.0,1,3
beginner,20.0,0,0.0,1,3
intermediate,30.0,0,0.0,1,1
intermediate,160.0,0,0.0,1,0
beginner,60.0,0,0.0,1,3
beginner,40.0,0,0.0,1,3
intermediate,80.0,0,0.0,1,4
intermediate,40.0,0,0.0,1,1
beginner,30.0,0,0.0,1,3
beginner,160.0,0,0.0,1,0
intermediate,10.0,0,0.0,1,1
intermediate,20.0,0,0.0,1,1
advanced,120.0,0,0.0,1,4
advanced,30.0,0,0.0,1,4
intermediate,10.0,0,0.0,1,1
intermediate,10.0,0,0.0,1,1
intermediate,40.0,0,0.0,1,1
intermediate,20.0,0,0.0,1,1
intermediate,160.0,0,0.0,1,0
intermediate,30.0,0,0.0,1,1
advanced,80.0,0,0.0,1,4
intermediate,10.0,0,0.0,1,1
beginner,40.0,0,0.0,1,3
intermediate,10.0,0,0.0,1,1
beginner,40.0,0,0.0,1,3
beginner,60.0,0,0.0,1,3
intermediate,30.0,0,0.0,1,1
intermediate,10.0,0,0.0,1,1
advanced,50.0,0,0.0,1,4
advanced,10.0,0,0.0,1,1
intermediate,10.0,0,0.0,1,1
advanced,160.0,0,0.0,1,0
intermediate,160.0,0,0.0,1,0
beginner,40.0,0,0.0,1,3
intermediate,10.0,0,0.0,1,1
intermediate,30.0,0,0.0,1,1
intermediate,80.0,0,0.0,1,4
intermediate,160.0,0,0.0,1,0
intermediate,40.0,0,0.0,1,1
beginner,80.0,0,0.0,1,3
intermediate,20.0,0,0.0,1,1
intermediate,160.0,0,0.0,1,0
beginner,20.0,0,0.0,1,3
intermediate,80.0,0,0.0,1,4
advanced,40.0,0,0.0,1,4
intermediate,30.0,0,0.0,1,1
intermediate,20.0,0,0.0,1,1
intermediate,10.0,0,0.0,1,1
intermediate,20.0,0,0.0,1,1
intermediate,80.0,0,0.0,1,4
intermediate,10.0,0,0.0,1,1
advanced,80.0,0,0.0,1,4
intermediate,80.0,0,0.0,1,4
beginner,35.0,0,0.0,1,3
beginner,5.0,0,0.0,1,3
intermediate,30.0,0,0.0,1,1
intermediate,80.0,0,0.0,1,4
intermediate,30.0,0,0.0,1,1
advanced,10.0,0,0.0,1,1
intermediate,20.0,0,0.0,1,1
intermediate,40.0,0,0.0,1,1
beginner,160.0,0,0.0,1,0
intermediate,50.0,0,0.0,1,1
intermediate,60.0,0,0.0,1,4
beginner,20.0,0,0.0,1,3
beginner,50.0,0,0.0,1,3
intermediate,80.0,0,0.0,1,4
beginner,35.0,0,0.0,1,3
beginner,80.0,0,0.0,1,3
intermediate,30.0,0,0.0,1,1
beginner,20.0,0,0.0,1,3
intermediate,40.0,0,0.0,1,1
intermediate,30.0,0,0.0,1,1
intermediate,20.0,0,0.0,1,1
intermediate,80.0,0,0.0,1,4
beginner,30.0,0,0.0,1,3
beginner,20.0,0,0.0,1,3
beginner,20.0,0,0.0,1,3
intermediate,30.0,0,0.0,1,1
intermediate,20.0,0,0.0,1,1
intermediate,10.0,0,0.0,1,1
intermediate,20.0,0,0.0,1,1
advanced,120.0,0,0.0,1,4
intermediate,80.0,0,0.0,1,4
intermediate,160.0,0,0.0,1,0
intermediate,5.0,0,0.0,1,1
intermediate,120.0,0,0.0,1,0
intermediate,160.0,0,0.0,1,0
intermediate,10.0,0,0.0,1,1
advanced,80.0,0,0.0,1,4
beginner,30.0,0,0.0,1,3
intermediate,120.0,0,0.0,1,0
beginner,15.0,0,0.0,1,3
intermediate,20.0,0,0.0,1,1
beginner,60.0,0,0.0,1,3
intermediate,30.0,0,0.0,1,1
advanced,10.0,0,0.0,1,1
intermediate,80.0,0,0.0,1,4
intermediate,160.0,0,0.0,1,0
intermediate,40.0,0,0.0,1,1
intermediate,30.0,0,0.0,1,1
advanced,20.0,0,0.0,1,1
beginner,80.0,0,0.0,1,3
advanced,40.0,0,0.0,1,4
beginner,50.0,0,0.0,1,3
intermediate,80.0,0,0.0,1,4
intermediate,20.0,0,0.0,1,1
advanced,60.0,0,0.0,1,4
intermediate,20.0,0,0.0,1,1
intermediate,40.0,0,0.0,1,1
intermediate,80.0,0,0.0,1,4
beginner,5.0,0,0.0,1,3
advanced,50.0,0,0.0,1,4
intermediate,80.0,0,0.0,1,4
beginner,20.0,0,0.0,1,3
advanced,30.0,0,0.0,1,4
intermediate,20.0,0,0.0,1,1
advanced,40.0,0,0.0,1,4
intermediate,20.0,0,0.0,1,1
advanced,30.0,0,0.0,1,4
beginner,40.0,0,0.0,1,3
advanced,120.0,0,0.0,1,4
advanced,60.0,0,0.0,1,4
intermediate,10.0,0,0.0,1,1
advanced,60.0,0,0.0,1,4
beginner,5.0,0,0.0,1,3
beginner,10.0,0,0.0,1,3
advanced,80.0,0,0.0,1,4
intermediate,20.0,0,0.0,1,1
intermediate,30.0,0,0.0,1,1
intermediate,160.0,0,0.0,0,0
beginner,80.0,0,0.0,1,3
intermediate,120.0,94,92.12765957446808,0,2
beginner,160.0,386,93.93782383419688,0,6
advanced,160.0,0,0.0,0,0
beginner,40.0,0,0.0,1,3
intermediate,120.0,78,95.89743589743593,0,2
beginner,120.0,0,0.0,0,6
beginner,160.0,0,0.0,0,0
intermediate,160.0,70,94.57142857142856,0,2
intermediate,80.0,0,0.0,0,4
intermediate,40.0,0,0.0,0,1
advanced,80.0,138,83.33333333333334,0,2
advanced,120.0,228,93.94736842105264,0,2
advanced,160.0,208,95.09615384615384,0,2
beginner,160.0,423,93.00236406619383,0,6
beginner,120.0,54,94.44444444444444,0,6
intermediate,160.0,611,92.79869067103108,0,2
intermediate,120.0,60,87.00000000000001,0,2
intermediate,80.0,0,0.0,0,4
intermediate,80.0,0,0.0,0,4
intermediate,120.0,70,88.28571428571429,0,2
intermediate,120.0,0,0.0,0,0
advanced,160.0,424,91.22641509433964,0,2
beginner,160.0,147,93.1972789115646,0,6
advanced,240.0,202,91.6831683168317,0,5
intermediate,160.0,156,84.87179487179488,0,2
advanced,120.0,255,90.74509803921568,0,2
beginner,120.0,264,93.56060606060606,0,6
intermediate,200.0,194,88.96907216494846,0,5
beginner,160.0,0,0.0,0,0
advanced,160.0,91,91.64835164835162,0,2
beginner,160.0,3065,96.82218597063624,0,6
advanced,120.0,388,90.72164948453609,0,2
intermediate,160.0,617,93.19286871961104,0,2
intermediate,120.0,939,92.71565495207668,0,2
advanced,120.0,130,93.3846153846154,0,2
intermediate,120.0,249,93.49397590361448,0,2
advanced,120.0,354,93.61581920903951,0,2
intermediate,280.0,765,92.3660130718954,0,5
intermediate,160.0,536,88.28358208955223,0,2
advanced,120.0,608,93.125,0,2
intermediate,120.0,0,0.0,0,0
intermediate,120.0,342,94.85380116959064,0,2
intermediate,40.0,0,0.0,0,1
intermediate,240.0,515,91.6116504854369,0,5
beginner,120.0,839,92.4672228843862,0,6
beginner,80.0,90,89.33333333333331,0,6
